name,neighbourhood_cleansed,room_type,price,review_scores_rating,price_log
Cozy Bedroom in Williamsburg 3 BR,Williamsburg,Private room,85,100,4.443
Room in Brownstone B/Q feet away,Prospect Heights,Private room,85,100,4.443
Sunny room+Pvte office in huge loft,Bushwick,Private room,65,100,4.174
Spacious Prospect Heights Apartment,Prospect Heights,Entire home/apt,135,100,4.905
"Large Parlor Room, Landmark Home 1 block to PRATT",Clinton Hill,Private room,98,100,4.585
2-bed brownstone duplex + garden,Prospect Heights,Entire home/apt,250,100,5.521
Sunny Apartment in Artist Home,Bushwick,Entire home/apt,105,100,4.654
Light-filled classic Central Park ,Upper West Side,Entire home/apt,140,100,4.942
"Upper Manhattan, New York",Harlem,Private room,89,100,4.489
COZY QUIET monthly room 4 DOOGLERS!,Chelsea,Private room,111,100,4.710
The Stuydio Modern and Light Filled,Bedford-Stuyvesant,Entire home/apt,125,100,4.828
House On Henry (3rd FLR Suite),Carroll Gardens,Entire home/apt,175,100,5.165
2000 SF 3br 2ba West Village garden townhouse,West Village,Entire home/apt,500,100,6.215
"Williamsburg—Steps To Subway, Private Bath&Balcony",Williamsburg,Private room,101,100,4.615
Beautiful Duplex Apartment,Park Slope,Entire home/apt,220,100,5.394
Large 2 Bedroom Great for Groups!,Bedford-Stuyvesant,Entire home/apt,125,100,4.828
"Modern Brooklyn Apt., August sublet",Williamsburg,Entire home/apt,80,100,4.382
"1,800 sq foot in luxury building",Harlem,Private room,100,100,4.605
Sunny 2-story Brooklyn townhouse w deck and garden,Gowanus,Entire home/apt,200,100,5.298
"Times Square, Safe, Clean and Cozy!",Hell's Kitchen,Private room,59,100,4.078
"Cozy Room #3, Landmark Home 1 Block to PRATT",Clinton Hill,Private room,125,100,4.828
Beautiful Apartment East Village,East Village,Entire home/apt,140,100,4.942
Park Slope Green Guest House,South Slope,Entire home/apt,120,100,4.787
2 BR / 2 Bath Duplex Apt with patio! East Village,East Village,Entire home/apt,350,100,5.858
2 story family home in Williamsburg,Williamsburg,Entire home/apt,325,100,5.784
Great Large 1 BR apt  in East Village!,East Village,Entire home/apt,225,100,5.416
Eveland Private Bed & Living Room w/ Own Entrance,South Slope,Private room,99,100,4.595
Sugar Hill Rest Stop ,Harlem,Entire home/apt,170,100,5.136
3 Story Town House in Park Slope,South Slope,Entire home/apt,400,100,5.991
apartment next to Central park,Upper West Side,Entire home/apt,170,100,5.136
East Village Sanctuary,East Village,Entire home/apt,100,100,4.605
Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,Prospect-Lefferts Gardens,Private room,75,100,4.317
Garden studio in the Upper East Sid,Upper East Side,Entire home/apt,150,100,5.011
B & B Room 1,Bedford-Stuyvesant,Private room,70,100,4.248
ACCOMMODATIONS GALORE #1,Harlem,Entire home/apt,120,100,4.787
Sunny Room in New Condo,Clinton Hill,Private room,89,100,4.489
Stylish & Sleek Apartment Near SoHo!,East Village,Entire home/apt,185,100,5.220
Most Central Location!,Hell's Kitchen,Private room,130,100,4.868
Sanctuary in East Flatbush,Flatlands,Private room,77,100,4.344
Room with En Suite Bathroom & Deck,Clinton Hill,Private room,76,100,4.331
