name,neighbourhood_cleansed,room_type,price,review_scores_rating
Room in Sant Antoni huge terrasse,el Raval,Private room,39,100
"Next To Las Ramblas, Unique, Wif1",el Raval,Entire home/apt,60,77
Sunny whole flat in Raval/Ramblas,el Raval,Entire home/apt,55,83
Apartment in the heart of Barcelona,el Raval,Entire home/apt,99,84
Centric Bohemian next Ramblas&Macba,el Raval,Entire home/apt,45,80
Habitacion Single Exterior,el Raval,Private room,25,67
Beautiful Apartment in City D,el Raval,Entire home/apt,79,79
single room,el Raval,Private room,21,80
BOQUERIA!!!RAMBLA!!!DOUBLE ROOM FOR RENT,el Raval,Private room,40,94
Apartamento para famillas Barcelona,el Raval,Entire home/apt,98,92
Beautiful apt double terrace center,el Raval,Entire home/apt,60,90
Modern Loft DBL Room w/ Balcony,el Raval,Private room,42,
Lovely LOFT in el Raval (city centre),el Raval,Entire home/apt,70,83
Pop Apartment next to LA RAMBLA,el Raval,Entire home/apt,65,76
‘__ Åç Åèç____‹ Å_‘è‰_Å© óè __ __ o_Big comfortable house,el Raval,Private room,36,97
Habitaciin en el centro de Barcelona,el Raval,Private room,55,100
Centrical  room OldCity Breakfast,el Raval,Private room,27,90
"Flat in Raval, 3mn from Metro L3",el Raval,Entire home/apt,525,
Habitaciin doble en el Raval,el Raval,Private room,45,97
Cosy central flat w/ terrasse,el Raval,Entire home/apt,90,88
Ocio y cultura,el Raval,Private room,30,92
Sunny room in Raval Center,el Raval,Private room,55,96
Central double room Sunny Terrace,el Raval,Private room,65,96
HABITACION BALCON y CAMA DOBLE,el Raval,Private room,45,83
CHIC BEAUTIFUL SUITE in arty centric flat,el Raval,Private room,60,98
COZY CENTRIC 2BD WITH LOVE,el Raval,Entire home/apt,47,80
BHNflats4u 103,el Raval,Entire home/apt,75,
Cool Flat in Barcelona Center!,el Raval,Entire home/apt,120,75
Hermoso apartamento en Sant Antoni,el Raval,Entire home/apt,165,
Charming and enchanting penthouse,el Raval,Entire home/apt,125,98
Barcelona Central  Flat,el Raval,Entire home/apt,19,96
Side street from Las Ramblas ,el Raval,Private room,30,95
"Quiet double, stylish central flat",el Raval,Private room,25,86
Barcelona old town single room,el Raval,Private room,40,89
Nice & Quite room Raval Boqueria center,el Raval,Private room,36,87
Central doble room private terrace,el Raval,Private room,49,84
Rooftop In the Heart of Barcelona !!,el Raval,Private room,61,98
Huge & Bright bedroom in our Home (Pl. Catalunya),el Raval,Private room,60,93
"RAMBLAS BOQUERIA, WALK EVERYWHERE!!",el Raval,Entire home/apt,69,90
Double Room El Raval - MACBA,el Raval,Private room,50,92
Lovely Room Barcelona Ramblas.,el Raval,Private room,40,80
"Cosy, bright and central apartment!",el Raval,Entire home/apt,76,81
Bohemian Loft appartment,el Raval,Entire home/apt,75,80
Large and bright private double room+living room,el Raval,Private room,70,80
B&B mirador de Sant Pau,el Raval,Private room,44,85
Piso con terraza muy centrico ( rambla) :-),el Raval,Private room,44,
Charming bedroom  in historical location of Raval,el Raval,Private room,20,89
PANORAMIC SUNSET SUITE - Private Entrance + Patio!,el Raval,Private room,65,100
Beautiful and Quiet Apartment in the Centre,el Raval,Entire home/apt,80,94
Apartment near las Ramblas,el Raval,Entire home/apt,70,93
ÕÅtico luminoso en Barcelona centro,el Raval,Entire home/apt,110,
Lovely & Centric Double Bedroom,el Raval,Private room,30,85
Nice room city center Ramblas,el Raval,Private room,30,93
Double room with air conditioning,el Raval,Private room,37,91
"Basic, All you need, Centric Apartm",el Raval,Private room,73,85
Vistalegre House,el Raval,Private room,100,
Relax in El Raval-Double w. Balcony,el Raval,Private room,53,90
Quiet stylish downtown room,el Raval,Private room,40,97
Central Cosy loft,el Raval,Entire home/apt,30,71
Sunny place with Terrace in Raval,el Raval,Private room,50,100
Cosy apartment in Sant Antoni,el Raval,Entire home/apt,89,80
BHNflats4u 102,el Raval,Entire home/apt,75,100
Stunning New Flat Barcelona Center!,el Raval,Entire home/apt,150,91
Quiet double room Barcelona downtown,el Raval,Private room,23,100
"Apartment next to ""RAMBLAS""",el Raval,Entire home/apt,75,86
Small cozy room in center,el Raval,Private room,39,88
AMAZING & CHEAP!,el Raval,Private room,50,20
Centric and perfect apartment up to 5 pax,el Raval,Entire home/apt,170,100
Apartment in Barcelona center,el Raval,Entire home/apt,20,77
Cosy flat in the city centre,el Raval,Entire home/apt,100,100
"Twins, Brilliant and Central",el Raval,Private room,82,95
HABITACION con CAMADOBLE y BALCON,el Raval,Private room,45,85
"Design, authentic 5 min from rambla",el Raval,Private room,58,98
Luxurious flat in barcelona center,el Raval,Private room,35,93
Room in the center of BCN,el Raval,Private room,37,80
Double room with balcony BCN center,el Raval,Private room,135,
 Habitaciin para 2 o 3 personas en el centro ,el Raval,Private room,40,78
Two beds- Ramblas- Charming,el Raval,Private room,39,92
Dbl bedroom with private bathroom,el Raval,Private room,45,91
Double room in the center of BCN,el Raval,Private room,45,
CITY CENTER. RAVAL Cozy room with private bathroom,el Raval,Private room,65,
Chambre calme proche Ramblas,el Raval,Private room,100,100
Beautiful apartment in Raval,el Raval,Entire home/apt,113,80
Modern apartment by La Rambla,el Raval,Entire home/apt,60,95
"OtRambla 25, 2-3. Central. Only 7 min from Ramblas",el Raval,Entire home/apt,125,73
HABITACION CAMADOBLE ,el Raval,Private room,30,86
GORGEOUS DESIGN FLAT HEART BCN 1B,el Raval,Entire home/apt,69,86
Big Room with Ensuite Shower and Private Bathroom,el Raval,Private room,50,78
Barcelona Center. 2 bedrooms.,el Raval,Entire home/apt,70,88
Mirror's room on Plaza Catalunya,el Raval,Private room,43,86
AHLflats C1,el Raval,Entire home/apt,75,68
Cozy single room - El Raval,el Raval,Private room,17,80
Room in center of BCN. El Raval,el Raval,Private room,20,76
PRIVATE ROOM IN THE CENTER OF BARCELONA,el Raval,Private room,40,
Habitaciin raval,el Raval,Private room,10,
Charming and cozy double bedroom in Raval,el Raval,Private room,30,90
Raval's Virreina,el Raval,Private room,55,97
GORGEOUS DESIGN GROUND FLOOR,el Raval,Entire home/apt,69,87
"Small, cheap & centric room in very nice house",el Raval,Private room,40,80
"RAVAL 1-BEDROOM FLAT, NEXT RAMBLAS, BEST LOCATION",el Raval,Entire home/apt,59,
Centrica habitaciin con balcon y W.C privado,el Raval,Private room,45,
Entire flat in the heart of barcelona,el Raval,Entire home/apt,100,60
"Old town 4, 6 minutes from Ramblas,",el Raval,Entire home/apt,180,90
RAMBLAS PLAZA lovely room,el Raval,Private room,80,89
"Mini.diplex, corazin del Raval",el Raval,Private room,47,84
Cozy Room in center of Barcelona,el Raval,Private room,24,80
Room with private bath in Barcelona center,el Raval,Private room,50,90
_é‚MODERN 'ZEN' COMFORT IN THE HEART OF THE RAVAL _é‚,el Raval,Entire home/apt,95,100
Cute attic in the city centre.,el Raval,Entire home/apt,79,93
Refurbished apartment in high Raval,el Raval,Private room,42,97
CONFORTABLE APARTAMENTO CENTRICO,el Raval,Entire home/apt,43,83
"Estamos cerca de todo, en Ciutat Vella centro",el Raval,Private room,14,96
Very Nice Room to rent in Raval ,el Raval,Private room,30,
El Oasis del Raval,el Raval,Entire home/apt,60,93
Old Town Duplex Loft off Las Ramblas,el Raval,Private room,59,95
SUNNY BEDROOM IN LOVELY FLAT!!,el Raval,Private room,45,71
 Disfrute de un viaje en la habitaciin dulce 1 ,el Raval,Private room,25,89
Single Room in the Raval,el Raval,Private room,20,
Beautiful Room Ramblas + Terrace,el Raval,Private room,60,
The Loft,el Raval,Private room,80,92
Nice room in Barcelona centre,el Raval,Private room,60,
ROOM IN THE HEART OF BCN - ONLY JULY/AUGUST,el Raval,Private room,39,87
Hab. en apartamento acogedor ramblas de Barcelona,el Raval,Private room,46,93
Habitaciin centro de Barcelona,el Raval,Private room,40,90
Cozy flat in the center,el Raval,Entire home/apt,80,80
Beautiful apartment off las Ramblas,el Raval,Entire home/apt,156,84
Hip En Suite Room in Raval,el Raval,Private room,80,90
"A place near to the RAmbla ,but in a quite street",el Raval,Private room,100,
LOVELY ROOM IN LICEU,el Raval,Private room,65,
PERFECT BEDROOM<<>>CITY CENTER,el Raval,Private room,30,80
1 Fabulous studio centre months,el Raval,Entire home/apt,65,77
ESTUDIO RAMBLAS A,el Raval,Entire home/apt,125,97
Private room with bathroom and key!,el Raval,Private room,64,87
"Sunny, Cozy character Apt",el Raval,Entire home/apt,60,91
Private room in the heart of Bcn,el Raval,Private room,30,88
TROPICAL ROOM FOR 3 PERSON,el Raval,Private room,30,80
Center - Double w A/C - FreeWiFi,el Raval,Private room,45,91
Nice double room in the city center,el Raval,Private room,25,87
LAS RAMBLAS! Fantastic double room B&B,el Raval,Private room,35,81
Double Cozy Room / City Center!,el Raval,Private room,36,81
BRAND NEW LOFT IN THE CENTER.,el Raval,Entire home/apt,250,
Double room with Balcony next to Ramblas & Beach,el Raval,Private room,38,
*BRAND NEW FLAT RAMBLA RAVAL 2/4PAX,el Raval,Entire home/apt,80,89
Modern apartment + Ramblas view! King size bed!,el Raval,Entire home/apt,189,93
Vigas Loft,el Raval,Entire home/apt,150,
Cozy apartment. Mediterranean style.,el Raval,Entire home/apt,65,90
Magnificent Apartment in Barcelona,el Raval,Entire home/apt,197,
Central 3 Beds Room& Free Breakfast,el Raval,Private room,15,89
ARCHITECTëâS Delight downtown BCN Raval,el Raval,Entire home/apt,133,
Central BlueRoom & free Breakfast L,el Raval,Private room,11,72
Apartment Ramblas 6 - Palou Suites,el Raval,Entire home/apt,99,96
Apartment in Barcelona,el Raval,Entire home/apt,70,80
SUIT ROOM IN A BRAND NEW LOFT,el Raval,Private room,80,95
"Center, Private bath & 20m2 terrace on top floor",el Raval,Private room,68,94
Amazing holidays need an amazing flat,el Raval,Private room,120,
Standard 2 bedroom + 2 bathroom terrace,el Raval,Entire home/apt,125,
Las Ramblas - New Doble Queen Room,el Raval,Private room,35,
Apartment Ramblas 2 - Palou Suites,el Raval,Entire home/apt,99,90
Cosy double room in city centre!,el Raval,Private room,37,89
Gran habitacii a 2min. de Rambles!,el Raval,Private room,40,97
Nice double room next to Ramblas and the Beach!!,el Raval,Private room,36,87
Cozy Suite at the City Center,el Raval,Private room,74,99
Stylish Flat in Barcelona Center 2!,el Raval,Entire home/apt,75,91
Top Floor Designer Flat,el Raval,Entire home/apt,165,96
Spacious room in the heart of Barcelona,el Raval,Private room,18,100
Pelayo Attic Deluxe 2 - BCN54,el Raval,Entire home/apt,199,97
Cozy room with balcony near La Rambla,el Raval,Private room,25,100
 Double room and cozy,el Raval,Private room,46,91
Nina Roomëâs Check-in from 1 p.m,el Raval,Private room,30,90
"Suite with private bathroom, Liceu",el Raval,Private room,55,93
"Nice Double room in the heart of Barcelona,Balcony",el Raval,Private room,47,91
Bonita habitaciin a dos minutos de las Ramblas.,el Raval,Private room,45,93
"Apartment, center of Barcelona",el Raval,Entire home/apt,40,63
Dorman Place,el Raval,Private room,32,85
"SPECTACULAR!, next The Ramblas.  ",el Raval,Entire home/apt,160,95
Vintage Design Apartment,el Raval,Entire home/apt,245,91
Tree Room - Cozy with Breakfast!,el Raval,Private room,28,100
"Completely renovated, all-new, super centric flat",el Raval,Entire home/apt,120,93
Lovely home near to las Ramblas :),el Raval,Entire home/apt,69,75
Center of Barcelona,el Raval,Private room,94,90
Double Room - perfect location,el Raval,Private room,50,
Habitaciin compartida en Piso compartido,el Raval,Private room,19,
"Rambla Boqueria 32, up to 10pax (HUTB-013231)",el Raval,Entire home/apt,340,85
Nice apartment in Las Ramblas,el Raval,Entire home/apt,170,96
Habitacion mediana con cama grande,el Raval,Private room,25,84
MWC Entire apartment next Plaza Catalunya/Ramblas!,el Raval,Entire home/apt,499,
BARCELONA OLD TOWN,el Raval,Entire home/apt,92,93
Cosy Flat in the heart of Raval,el Raval,Entire home/apt,250,
"Old town  5,  near Ramblas",el Raval,Entire home/apt,290,95
habitacion doble en piso esquinero,el Raval,Private room,30,92
Apartment near Ramblas Barcelona.,el Raval,Entire home/apt,100,80
AMAZING CENTRAL APARTMENT WITH BIG TERRACE,el Raval,Entire home/apt,120,
Double chillout right in the centre,el Raval,Private room,31,100
Magnificent double room with Balcony and SmartTV34,el Raval,Private room,47,93
Hab. en piso con vistas al mar,el Raval,Private room,99,
Gran  Habitacion /Centro Barcelona,el Raval,Private room,45,90
"Hermosa habitaciin en en Raval, cerca de todo.",el Raval,Private room,60,90
2 Bedroom Flat in Rambla with Rooftop Pool,el Raval,Entire home/apt,180,100
doble and private room i flat very ,el Raval,Private room,45,91
Nice Room with ensuit bathroom,el Raval,Private room,46,74
An oasis in the middle of raval ,el Raval,Private room,30,86
Double room in shared flat +terrace,el Raval,Private room,44,95
"Nice, sunny single rooom for rent",el Raval,Private room,50,93
Sweet double bedroom in La Rambla,el Raval,Private room,60,96
Kings & Queens of Ramblas: Join Us!,el Raval,Private room,37,87
Kings & Queens of Ramblas LUXURY,el Raval,Private room,29,87
Cyber Monday Week!! Luxury Apt at Pl. Universitat,el Raval,Entire home/apt,50,85
Ramblas Tallers 1 bedroom apartment,el Raval,Entire home/apt,100,90
Entire apartment RAMBLAS,el Raval,Entire home/apt,60,88
Nice and cozy attic in Raval,el Raval,Entire home/apt,80,88
PLAZA REAL - Apartment for 8 people,el Raval,Entire home/apt,205,60
Penthouse 1 bedroom +1 bathroom terrace,el Raval,Entire home/apt,105,
"Rambla Boqueria 12, up to 10pax (HUTB-013227)",el Raval,Entire home/apt,340,87
habitaciin  interior con ambiente artistico,el Raval,Private room,27,98
Double room in the historic center with Balcony!!,el Raval,Private room,40,92
4 PERSON ROOM,el Raval,Private room,40,78
Big private room (bedroom & living),el Raval,Private room,60,92
Cosy single room en el Raval,el Raval,Private room,24,
Cozy double room in Raval,el Raval,Private room,30,92
near the University area and Plaza Catalunya,el Raval,Entire home/apt,100,
Big room in huge flat in Raval,el Raval,Private room,69,100
"With a sun balcony,close to port .",el Raval,Private room,45,
"Lovely double bedroom, very centric",el Raval,Private room,25,96
Habitaciin muy centrica Very centrally room/ RAVAL,el Raval,Private room,25,100
Habitaciin doble luminosa Paral-lel,el Raval,Private room,35,
[__Î] Raval Apt Center 5min La Rambla Economic Price,el Raval,Entire home/apt,42,77
Relax in the Raval - Double w. Bath,el Raval,Private room,65,93
_ê_è_çÜoÜ__ç___µ__Ü_ÜÊ ___ç ___ç___±___µ ___ç___ç__ÜÔ,el Raval,Entire home/apt,37,71
Solarium 2 bedroom +2 bathroom big terrace,el Raval,Entire home/apt,145,
Sunny Centrical Apartment,el Raval,Private room,33,96
Stylish apartment in the heart of Barcelona!,el Raval,Entire home/apt,125,99
"AMAZING,BIG AND BRIGHT ROOM IN BCN",el Raval,Entire home/apt,50,76
RIGHT DOWNTOWN BCN!!!!!!,el Raval,Entire home/apt,65,91
Plaza Catalunya,el Raval,Entire home/apt,100,
lightfull artist flat / old city,el Raval,Entire home/apt,70,93
Haditacion individual,el Raval,Private room,19,89
Cimoda habitaciin en centro Pl.CataluÕ±a,el Raval,Private room,25,86
Functional Two Floor Flat,el Raval,Entire home/apt,90,83
Double room in Barcelona center,el Raval,Private room,22,88
LAS RAMBLAS! Incredible double room & balcony B&B,el Raval,Private room,45,79
Special room in workshop Barcelona Center.,el Raval,Private room,65,87
Habitacion en pleno centro de Barcelona,el Raval,Private room,50,
Barcelona Centre  -  100m2 terrace & very quiet,el Raval,Private room,59,93
Habitaciin individual en pleno centro de Barcelona,el Raval,Private room,45,
PARADISE  ROOM  for 2 PERSON,el Raval,Private room,25,82
Cosy Double Room + Private Bathroom,el Raval,Private room,39,88
Private room Barcelona city center,el Raval,Private room,35,
NEW Apartment BARCELONA - RAMBLAS,el Raval,Entire home/apt,170,84
"Habitaciin especial, centro de BCN",el Raval,Private room,55,92
Habitacion a dos min de La Rambla,el Raval,Private room,50,90
Central small room in the heart of BCN,el Raval,Private room,35,100
Private room in Centrical and Modern Loft,el Raval,Private room,70,
Apartament Ramblas Barcelona x31,el Raval,Entire home/apt,150,80
Nice App right on  Las Ramblas !!,el Raval,Entire home/apt,91,80
Art Nouveau Luxury Apartment BCN,el Raval,Entire home/apt,250,90
The room with brathroom prive for two persones,el Raval,Private room,50,80
Dali Private Bath with bunk bed and balcony,el Raval,Private room,150,87
LAS RAMBLAS! Incredible double room with balcony!,el Raval,Private room,50,
Las Ramblas ORCHID Family Apartment,el Raval,Entire home/apt,175,100
AMAZING APARTMENT NEXT TO RAMBLAS! ,el Raval,Entire home/apt,143,91
Modern Apartment near Las Ramblas,el Raval,Entire home/apt,100,88
NEW RAMBLA APARTMENT,el Raval,Entire home/apt,75,83
Private with Shared Bathroom,el Raval,Private room,30,60
"Cozy 2BR, 4 min to Las Ramblas. Bright & nice deco",el Raval,Entire home/apt,104,80
Charming Apartment in LAS RAMBLAS 3,el Raval,Entire home/apt,60,84
Pis Ciutat Vella,el Raval,Entire home/apt,50,
CENTRAL PORT  RAMBLAS  APARTAMENT,el Raval,Entire home/apt,200,90
Encantador piso nuevo en Barcelona,el Raval,Entire home/apt,85,97
Big double bedroom in the heart of Barcelona,el Raval,Private room,35,
_¥____ÜÔÜ__çÜè _________çÜ__ç _â__Üè 3 _è_µÜoÜÅ____.___µ__Ü_Üo.,el Raval,Private room,60,83
Centric double-bedroom in BCN,el Raval,Private room,25,88
_É_ SUNNY MODERN HOME IN THE HEART OF BCN / MACBA _É_,el Raval,Private room,70,95
"Central, private sunny huge terrace, A/C, WiFi,",el Raval,Entire home/apt,125,93
BCN center,el Raval,Entire home/apt,69,55
Designer 2Bed 2Bath flat close to Rambla,el Raval,Entire home/apt,160,100
Center Ramblas Barcelona,el Raval,Entire home/apt,59,92
PRIVATE ROOM =CITY CENTER +FREE WIFI (GAYFRIENDLY),el Raval,Private room,19,91
Habitaciin grande y luminosa,el Raval,Private room,38,94
Sunny and clean Double Room in BCN center,el Raval,Private room,90,
Flat near Placa Catalunya,el Raval,Entire home/apt,75,76
LOOKING TO RENT PER DAYS? Double ROOM NEAR Teatro Apolo,el Raval,Private room,70,
Little studio in Barcelona center,el Raval,Entire home/apt,70,88
Single Room in the heart of BCN!,el Raval,Private room,25,94
"Cozy Room in Center, 5 min from Ramblas & port",el Raval,Private room,27,
Fabulous studio 150 meters from metro Universitat,el Raval,Entire home/apt,85,93
RAMBLAS~ P.CATALUNYA =BEST LOCATION.,el Raval,Entire home/apt,49,83
"Center, Rambla Apartment, lift WIFi",el Raval,Entire home/apt,76,80
"90m2 CÕ©ntrico, reformado con estilo",el Raval,Entire home/apt,275,96
SUPER CENTRIC IN BARCELONA,el Raval,Private room,80,
EXCLUSIVA HABITACION DOBLE BARCELONA CENTRO P,el Raval,Private room,45,87
Nueva habitaciin en el Raval,el Raval,Private room,55,100
Habitaciin preciosa en las ramblas!,el Raval,Private room,55,
GREAT LOCATION! WALK EVERYWHERE!,el Raval,Entire home/apt,103,86
45më_ flat in Raval (L1-L2 Universitat-Sant Antoni),el Raval,Entire home/apt,60,90
Brand new & cozy central apart ,el Raval,Entire home/apt,95,87
Nice appartement near to La Rambla!,el Raval,Entire home/apt,58,91
ME CASA ES TU CASA,el Raval,Private room,31,86
New Ramblas (RENOVATED JULY 2016),el Raval,Entire home/apt,106,83
3 Rms/Seaview Balcony/Heart of BCN,el Raval,Entire home/apt,150,85
Smokers chill out room,el Raval,Private room,44,83
This place centr Of Brc near rambla,el Raval,Private room,30,96
Double bedRoom Ensuite- City center,el Raval,Private room,50,97
CLOSE TO RAMBLAS! Great place!!!,el Raval,Private room,30,100
Pelayo Attic Deluxe 3 - BCN54,el Raval,Entire home/apt,200,98
Rent a large room BCN CENTER,el Raval,Private room,35,
The room with brathroom prive for two persones,el Raval,Private room,50,80
RAMBLAS ORCHID2 FAMILY APARTMENT,el Raval,Entire home/apt,120,85
WONDER  APARTMENT,el Raval,Entire home/apt,100,86
Amazing loft great located downtown,el Raval,Entire home/apt,50,100
Sofa Bed & Breakfast near la Rambla,el Raval,Shared room,20,93
BARCELONA CENTRO-RAMBLAS,el Raval,Entire home/apt,95,83
"HOME WITH HEART, Wood, Sun and Sea!",el Raval,Private room,50,96
"Great room, Walk Everywhere!!",el Raval,Private room,48,
DOUBLE ROOM IN THE CITY CENTER,el Raval,Private room,25,82
Nice double room in BEST LOCATION!,el Raval,Private room,36,87
_ê_è_çÜoÜ__ç___µ__Ü_ÜÊ ÜÅ ___ô_â____ ___ç Rambla,el Raval,Entire home/apt,83,89
Homey Raval flat w/ amazing rooftop,el Raval,Entire home/apt,69,77
DOUBLE ROOM RAMBLAS/LICEU,el Raval,Private room,40,97
Room for 3 people with bathroom pri,el Raval,Private room,60,88
MINIFLAT IN THE CENTER OF BARCELONA,el Raval,Entire home/apt,80,87
central cosy apartment,el Raval,Entire home/apt,30,72
Lovely room for two in the center of Barcelona,el Raval,Private room,36,83
Spacious flat Mobile World Congress,el Raval,Entire home/apt,300,100
Genial piso a 250 mts de la rambla,el Raval,Entire home/apt,100,89
RAVAL!!! Double room in Barcelona,el Raval,Private room,80,100
Double room in the heart of Raval,el Raval,Private room,40,92
"Warm loft, Barcelona",el Raval,Entire home/apt,80,95
CityCenter - Double - FreeWIFI,el Raval,Private room,35,94
Unique Artist Studio in the Center of Barcelona,el Raval,Private room,72,88
Duplex Ramblas Barcelona 1,el Raval,Entire home/apt,200,84
Double room with balcony. La RAMBLA,el Raval,Private room,28,76
habitacion fucsia,el Raval,Private room,38,76
Raval  Barcelona (Casc Antic),el Raval,Entire home/apt,129,82
"Apartamento en El Centro, WiFi",el Raval,Entire home/apt,37,100
Small&Comfortable close to Ramblas,el Raval,Private room,30,93
Double room  in center of Barcelona,el Raval,Private room,25,86
Double height Loft in downtown,el Raval,Entire home/apt,419,72
"LAS RAMBLAS, A/A COZY ESTUDIO",el Raval,Entire home/apt,100,85
"Rambla Boqueria P1, up to 10pax (HUTB-013224)",el Raval,Entire home/apt,340,85
AMAZING PENTHOUSE APARTMENT RAMBLAS,el Raval,Entire home/apt,143,93
Pelayo Deluxe 4 - BCN54,el Raval,Entire home/apt,199,94
"Luxury, comfort, Bcn views  -M53",el Raval,Entire home/apt,510,95
LAS RAMBLAS! Amazing double room with balcony B&B,el Raval,Private room,45,60
_____çÜoÜ__ôÜo_ç Ü__µ___ô______ ___ç___±___ç ___ç___ç__ÜÔ,el Raval,Entire home/apt,65,60
GREAT FLAT&AMAZING LOCATION,el Raval,Entire home/apt,35,100
RAMBLAS NEW,el Raval,Entire home/apt,74,83
Comfortable apartment near to Rambla,el Raval,Entire home/apt,102,83
COLORFUL AND COZY FLAT IN BARCELONAS COOLEST AREA!,el Raval,Entire home/apt,47,89
Ramblas Boqueria Raval,el Raval,Entire home/apt,105,84
Stylish Guest Bedroom,el Raval,Private room,65,95
DOUBLE ROOM IN SHARED APARTMENT,el Raval,Private room,28,94
Barrio del Raval -2,el Raval,Entire home/apt,95,75
Big room in the center,el Raval,Private room,50,
Raval lovely loft,el Raval,Entire home/apt,55,80
Central private joyful double bedroom,el Raval,Private room,32,92
Double bedroom with Terrace,el Raval,Private room,53,95
Beautiful bohemian oasis in Raval,el Raval,Entire home/apt,75,88
Bright in the heart of the city,el Raval,Entire home/apt,88,86
aprtamento dos habitaciones centro,el Raval,Entire home/apt,75,
cosy flat with private terrace,el Raval,Entire home/apt,63,87
Centric doubleroom near to Ramblas!,el Raval,Private room,42,87
Welcome to Barcelona,el Raval,Entire home/apt,150,80
Skateboard House -side of Macba BCN,el Raval,Private room,15,97
"Room in the center,great city views",el Raval,Private room,40,97
Charming room in downtown!,el Raval,Private room,50,84
Cosy room in the city centre,el Raval,Private room,25,100
CENTER OF BARCELONA!! Double room!!,el Raval,Private room,61,92
Suite B&B Raco de Sant Pau,el Raval,Private room,55,88
VERY CENTRAL LOCATION!!!!,el Raval,Private room,30,
Estudii en el centro de barcelona,el Raval,Entire home/apt,70,40
Room excellent Double bed and balcon BARCELONA,el Raval,Private room,40,81
ROOMY FLAT OLD TOWN 5PAX 2BDR WIFI,el Raval,Entire home/apt,100,90
"Room for two people, two single bed BARCELONA",el Raval,Private room,33,83
Cozy Crib in the City Center,el Raval,Private room,26,95
ROOM+RAMBLAS+RAVAL,el Raval,Private room,33,88
Loft room in the heart of Ciutat Vella,el Raval,Private room,60,
Alquiler de habitaciin muy luminosa,el Raval,Private room,15,70
MWC APARTMENT,el Raval,Entire home/apt,150,
At the heart of Barcelona (monthly rental),el Raval,Entire home/apt,65,
Habitacion doble con terraza privada en el centro,el Raval,Private room,57,
Modern 2BR nr Pl Catalunya/Ramblas,el Raval,Entire home/apt,69,85
3 Bedroom Bright Spacious Apt,el Raval,Entire home/apt,125,88
amazing room best location ever,el Raval,Private room,40,92
Cozy bedroom in the heart of Barcelona,el Raval,Private room,50,
"Double Room with Balcony, Raval",el Raval,Private room,20,
Apartamento 4 PAX2,el Raval,Entire home/apt,250,90
Beautiful apartment in the center,el Raval,Entire home/apt,89,95
Apartament 5 _†_3413,el Raval,Entire home/apt,110,
Quiet room in a colorful quartier,el Raval,Private room,50,95
VISTALEGRE HOUSE 2,el Raval,Private room,100,100
Big room in the center!,el Raval,Private room,45,97
Lovely penthouse in the center of Barcelona,el Raval,Entire home/apt,56,80
Beautiful *NEW* 2BRoom flat centre,el Raval,Entire home/apt,100,87
City Center - Private Room,el Raval,Private room,20,99
Large and bright room in the center of barcelona,el Raval,Private room,50,90
Habitaciin en el centro de Barcelon,el Raval,Private room,42,83
Terrasse sur la Rambla,el Raval,Entire home/apt,75,
Room in the center of BCN,el Raval,Private room,50,80
Nice cheap and centric room,el Raval,Private room,29,90
Double Room Just Off Las Ramblas,el Raval,Private room,45,88
Double room in the city centre,el Raval,Private room,45,82
En el centro de la ciudad ^_^,el Raval,Private room,20,98
Amazing double room in the heart of the city,el Raval,Private room,50,92
STUDIO MERCADO BOQUERIA,el Raval,Entire home/apt,80,100
Welcome to the House O' Fun!,el Raval,Private room,29,88
Modern & cozy apartment in the heart of Barcelona,el Raval,Entire home/apt,99,100
COZY APARTMENT  CENTRE FOR MONTHS,el Raval,Entire home/apt,69,77
"Single room, L'Rambla, Pl Catalunya",el Raval,Private room,18,
"With a balcony,close to Rambla room",el Raval,Private room,45,60
 Luxury Apartment Plaia Catalunya,el Raval,Entire home/apt,150,100
‘ççèêŒèˆË_É___Ë‘ÒŒBARCELONE ,el Raval,Private room,45,85
Private Suite Ramblas,el Raval,Private room,60,97
"Sunny double room at MACBA, in the heart of city",el Raval,Private room,50,
Enjoy Barcelona in a central room,el Raval,Private room,25,82
Enjoy Barcelona in Beautiful Room,el Raval,Private room,34,86
HEART SANT ANTONI UNIVERSIDA,el Raval,Entire home/apt,49,92
*BRAND NEW FLAT RAMBLAS/BOQUERIA*,el Raval,Entire home/apt,100,94
Amazing private room in penthouse,el Raval,Private room,55,93
Wonderful accommodation Barcelona,el Raval,Private room,50,
Acojedor departamento cerca. RAVAL,el Raval,Private room,40,91
"Central Apartment, Plaza Cataluna B",el Raval,Entire home/apt,19,90
ROOM WITH 3 BEDS IN  THE CITY CENTER,el Raval,Private room,26,87
Cozy apartment near La Rambla with WIFI,el Raval,Entire home/apt,50,81
Gravina apart 4,el Raval,Entire home/apt,100,
Double bedroom in the heart of BCN,el Raval,Private room,37,92
Charming apt in the heart of Raval,el Raval,Entire home/apt,110,88
Nice room in the center!,el Raval,Private room,50,91
Small Room 4 rent in BCN Downtown,el Raval,Private room,18,94
Spacious modern studio in the heart of Barcelona,el Raval,Entire home/apt,70,
Piso en pleno centro de Barcelona,el Raval,Entire home/apt,100,
Nice Low Cost in Raval City Center,el Raval,Entire home/apt,62,80
Central Loft San Pau   Private Room and Bathroom,el Raval,Private room,70,99
60 eur Habitaciin+salin centro BCN,el Raval,Private room,60,95
Sunny room with private WC near Las Ramblas,el Raval,Private room,40,100
